"Имя образа","PID","Имя сессии","№ сеанса","Память","Состояние","Пользователь","Время ЦП","Заголовок окна"
"Taskmgr.exe","6652","Console","1","64 668 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:04:03","Диспетчер задач"
"msedgewebview2.exe","17512","Console","1","42 256 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"steamwebhelper.exe","17580","Console","1","19 748 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"steamwebhelper.exe","12396","Console","1","40 944 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"GameInputSvc.exe","22956","Services","0","5 896 КБ","Unknown","Н/Д","0:00:00","Н/Д"
"GameInputSvc.exe","22980","Console","1","17 416 КБ","Running","Н/Д","0:00:23","Н/Д"
"SearchApp.exe","21072","Console","1","113 672 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:09","Поиск"
"chrome.exe","9736","Console","1","82 672 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","14108","Console","1","121 008 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:04","Н/Д"
"RuntimeBroker.exe","20896","Console","1","28 100 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:02","Н/Д"
"chrome.exe","8280","Console","1","65 580 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","1408","Console","1","81 856 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"Code.exe","15652","Console","1","145 600 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:41","aboba.txt - lab01 - Visual Studio Code"
"Code.exe","21104","Console","1","29 544 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"Code.exe","18848","Console","1","104 812 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:01:52","Н/Д"
"Code.exe","14984","Console","1","47 200 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:06","OleMainThreadWndName"
"Code.exe","1716","Console","1","312 120 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:02:23","Н/Д"
"Code.exe","22180","Console","1","113 472 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:02","OleMainThreadWndName"
"Code.exe","21408","Console","1","283 028 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:15","OleMainThreadWndName"
"Code.exe","8092","Console","1","104 596 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:26","OleMainThreadWndName"
"Code.exe","22428","Console","1","98 424 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:01","OleMainThreadWndName"
"conhost.exe","12424","Console","1","6 456 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"powershell.exe","18060","Console","1","58 848 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","OleMainThreadWndName"
"conhost.exe","18524","Console","1","6 788 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"cmd.exe","9728","Console","1","7 348 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"CodeSetup-stable-bdd88df003631aaa0bcbe057cb0a940b80a476fa.exe","22264","Console","1","8 240 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:00","InnoSetupLdrWindow"
"CodeSetup-stable-bdd88df003631aaa0bcbe057cb0a940b80a476fa.tmp","1396","Console","1","23 452 КБ","Not Responding","DESKTOP-8A027K2\Yalta2012","0:00:18","Н/Д"
"chrome.exe","18544","Console","1","81 528 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","21312","Console","1","88 176 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","17648","Console","1","127 544 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:20","Н/Д"
"POWERPNT.EXE","21880","Console","1","103 056 КБ","Running","DESKTOP-8A027K2\Yalta2012","0:00:08","Операционные системы_лаб_1.pptx - PowerPoint (Сбой активации продукта)"
"chrome.exe","5536","Console","1","96 212 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","20220","Console","1","98 764 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","13024","Console","1","174 216 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:04","Н/Д"
"chrome.exe","18268","Console","1","65 060 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","22740","Console","1","151 120 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:02","Н/Д"
"chrome.exe","21172","Console","1","122 144 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","21372","Console","1","176 012 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:03","Н/Д"
"chrome.exe","23512","Console","1","104 456 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
"chrome.exe","19700","Console","1","153 844 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","9508","Console","1","219 992 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:08","Н/Д"
"chrome.exe","18264","Console","1","104 268 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:01","Н/Д"
"chrome.exe","19020","Console","1","140 688 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:02","Н/Д"
"chrome.exe","21688","Console","1","158 088 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:26","Н/Д"
"chrome.exe","13244","Console","1","59 524 КБ","Unknown","DESKTOP-8A027K2\Yalta2012","0:00:00","Н/Д"
